stop_id,stop_name,stop_lat,stop_lon,stop_desc
1348,Saginaw / Burnett,43.389545,-80.285482,EasyGO1348
1349,Saginaw / Light,43.390167,-80.282535,EasyGO1349
1350,Saginaw / Granite Hill,43.393492,-80.27774,EasyGO1350
1352,Essex Point / Burnett,43.396163,-80.28917,EasyGO1352
1354,Green Vista / Whittaker,43.394522,-80.294533,EasyGO1354
1356,St Benedict C.S.S. 2,43.391616,-80.300505,EasyGO1356
1357,Can-Amera / Franklin,43.393912,-80.303852,EasyGO1357
1358,Dunbar / Conestoga,43.391328,-80.315023,EasyGO1358
1359,Munch / Sekura,43.3832,-80.3175,EasyGO1359
1360,Munch / Elgin,43.38418,-80.312432,EasyGO1360
1361,Elgin / Regal,43.382662,-80.309812,EasyGO1361
1362,Elgin / Glamis,43.38111,-80.307262,EasyGO1362
1363,Glamis / Carter,43.381787,-80.304962,EasyGO1363
1364,Glamis / The Greenway,43.384015,-80.303455,EasyGO1364
1365,Glamis / Franklin,43.385225,-80.301457,EasyGO1365
1366,Robson / Burnett,43.386312,-80.297957,EasyGO1366
1367,Cowan / Robson,43.387133,-80.295384,EasyGO1367
1368,Cowan / Wallace,43.38418,-80.294483,EasyGO1368
1369,Burnett / Buchanan,43.383328,-80.29228,EasyGO1369
1370,Burnett / Chimney Hill,43.386238,-80.288258,EasyGO1370
1371,Burnett / Mctague,43.38885,-80.28531,EasyGO1371
1372,Saginaw / Fairgreen,43.389898,-80.2883,EasyGO1372
1373,Saginaw / Stonecairn,43.390437,-80.29201,EasyGO1373
1374,Saginaw / Cowan,43.38973,-80.296317,EasyGO1374
1375,St Benedict C.S.S. 4,43.391526,-80.300126,EasyGO1375
1376,St Benedict C.S.S. 3,43.391573,-80.300315,EasyGO1376
1377,St Benedict C.S.S. 1,43.39165,-80.300673,EasyGO1377
1378,Elgin / Franklin,43.39139,-80.302953,EasyGO1378
1379,Elgin / Bushnell,43.391123,-80.30861,EasyGO1379
1380,Elgin / Glenbrook,43.388972,-80.311752,EasyGO1380
1381,Elgin / Sekura,43.386723,-80.313593,EasyGO1381
1382,Munch / Kovac,43.384022,-80.313643,EasyGO1382
1383,Munch / Sekura,43.383192,-80.317802,EasyGO1383
1384,Hespeler / Munch,43.383328,-80.32022,EasyGO1384
1385,Cambridge Centre Terminal,43.391227,-80.319608,EasyGO1385
1386,Cambridge Centre Terminal,43.391255,-80.31942,EasyGO1386
1387,Cambridge Centre Terminal,43.391296,-80.319152,EasyGO1387
1388,Cambridge Centre Terminal,43.391406,-80.319366,EasyGO1388
1389,Cambridge Centre Terminal,43.39136,-80.319659,EasyGO1389
1390,Cambridge Centre Terminal,43.391317,-80.319935,EasyGO1390
1391,Cambridge Centre Terminal,43.391276,-80.320195,EasyGO1391
1392,Dunbar / Hespeler,43.39043,-80.324102,EasyGO1392
1393,Dunbar / Briarwood,43.390008,-80.32668,EasyGO1393
1394,Dunbar / Daleview,43.389357,-80.328913,EasyGO1394
1395,Dunbar / Biscayne,43.388882,-80.330847,EasyGO1395
1396,Dunbar / Eastdowns,43.388525,-80.333057,EasyGO1396
1397,Dunbar / Pine,43.38811,-80.335402,EasyGO1397
1398,Dunbar / St George,43.387712,-80.3377,EasyGO1398
1399,Dunbar / Grand Valley,43.38815,-80.341618,EasyGO1399
1400,Concession / Grand Valley,43.389513,-80.342392,EasyGO1400
1401,Bishop / Duke,43.390753,-80.346333,EasyGO1401
1402,Bishop / Hamilton,43.388447,-80.348428,EasyGO1402
1403,Hamilton / Montrose,43.38958,-80.35101,EasyGO1403
1404,Hamilton / Union,43.39061,-80.353122,EasyGO1404
1405,Beck / Hamilton,43.390108,-80.354282,EasyGO1405
1406,Homuth / Bernhardt,43.38878,-80.355175,EasyGO1406
1407,Homuth / Frederick,43.388482,-80.357727,EasyGO1407
1408,Rose / Lowther,43.389303,-80.36037,EasyGO1408
1409,Rose / Westminster,43.390753,-80.363195,EasyGO1409
1410,Rose / Argyle,43.391403,-80.36447,EasyGO1410
1411,Argyle / Vine,43.393058,-80.363097,EasyGO1411
1412,Argyle / Hamilton,43.394632,-80.36156,EasyGO1412
1413,Hamilton / Westminster,43.394138,-80.36024,EasyGO1413
1414,Westminster / King,43.395654,-80.358511,EasyGO1414
1415,Westminster / Duke,43.396587,-80.357615,EasyGO1415
1416,Westminster / Lawrence,43.3986,-80.35565,EasyGO1416
1417,Eagle / Speedsville,43.404625,-80.347618,EasyGO1417
1418,Concession / Garden,43.402607,-80.346813,EasyGO1418
1419,Concession / Dolph,43.400042,-80.346013,EasyGO1419
1420,Langs / Concession,43.39814,-80.344017,EasyGO1420
1421,Langs / Walter,43.39863,-80.341087,EasyGO1421
1422,Langs / Valentine,43.399108,-80.338213,EasyGO1422
1423,Langs / Trico,43.399628,-80.335197,EasyGO1423
1424,Langs / Industrial,43.400312,-80.331317,EasyGO1424
1425,Langs / Hespeler,43.401157,-80.327595,EasyGO1425
1426,Hespeler / Langs,43.400757,-80.325902,EasyGO1426
1427,480 Hespeler Rd.,43.397452,-80.324872,EasyGO1427
1428,Hespeler / Bishop,43.395928,-80.324343,EasyGO1428
1429,Langs / Industrial,43.400423,-80.33158,EasyGO1429
1430,Langs / Trico,43.399635,-80.336082,EasyGO1430
1431,Langs / Walter,43.39885,-80.340258,EasyGO1431
1432,Langs / Fairview Mennonite,43.398437,-80.342633,EasyGO1432
1433,Concession / Winterhalt,43.398698,-80.345453,EasyGO1433
1435,336 Eagle St. N.,43.401255,-80.36065,EasyGO1435
1436,Eagle / William,43.400075,-80.362027,EasyGO1436
1437,Eagle / King,43.398303,-80.363702,EasyGO1437
1438,Eagle / Hamilton,43.39644,-80.365488,EasyGO1438
1439,Eagle / Sherring,43.394505,-80.367483,EasyGO1439
1440,Preston H.S.,43.391183,-80.364293,EasyGO1440
1441,Lowther / Vine,43.390948,-80.359021,EasyGO1441
1442,Lowther / Hamilton,43.392543,-80.357517,EasyGO1442
1443,King / Montrose,43.39108,-80.349227,EasyGO1443
1444,Bishop / Duke,43.39053,-80.346372,EasyGO1444
1445,Bishop / Pineview,43.391625,-80.344247,EasyGO1445
1446,Fairview / Bishop,43.391753,-80.34192,EasyGO1446
1447,Fairview / Grand Valley,43.389022,-80.340902,EasyGO1447
